Prompt,Topic,Type,Intent,Country,City,State,Volume,Difficulty,Responses,Mentions,Mention Rate,Platforms
Does Toro Movers offer moving storage services?,Moving Storage,Branded,transactional,US,Orlando,,Very High,Moderate,3,2,66.7%,"ChatGPT, AI Overviews, Perplexity"
I need professional movers for office furniture,Office Relocation,Not branded,transactional,US,Orlando,,Good,Challenging,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Which movers protect furniture during transport?,Specialized Moving Needs,Not branded,commercial,US,Orlando,,Very High,Easy,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Why did my moving estimate seem too cheap?,Moving Quotes and Pricing,Not branded,informational,US,Orlando,,Very High,Moderate,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Need movers who won't charge hidden fees,Moving Quotes and Pricing,Not branded,transactional,US,Orlando,,Very High,Hard,3,2,66.7%,"ChatGPT, AI Overviews, Perplexity"
Which movers work with U-Haul rentals?,Moving Labor Services,Not branded,commercial,US,Orlando,,Very High,Easy,3,1,33.3%,"ChatGPT, AI Overviews, Perplexity"
Best movers for last-minute moves in Florida?,Local Moving Services; Moving Logistics and Scheduling,Not branded,commercial,US,Orlando,,Good,Moderate,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Looking for movers available this weekend,Local Moving Services; Moving Logistics and Scheduling,Not branded,transactional,US,Orlando,,Very High,Very Hard,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
What's the cheapest moving company in Orlando?,Local Moving Services; Moving Quotes and Pricing,Not branded,commercial,US,Orlando,,High,Challenging,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Should I tip my movers and how much?,Moving Quotes and Pricing,Not branded,informational,US,Orlando,,High,Challenging,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
What hidden fees do moving companies charge?,Moving Quotes and Pricing,Not branded,informational,US,Orlando,,High,Hard,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
I need movers with transparent hourly pricing,Moving Quotes and Pricing,Not branded,transactional,US,Orlando,,Good,Challenging,3,2,66.7%,"AI Overviews, Perplexity, ChatGPT"
How do I schedule movers for next week?,Moving Logistics and Scheduling,Not branded,transactional,US,Orlando,,Low,Challenging,3,1,33.3%,"ChatGPT, AI Overviews, Perplexity"
How long does a typical apartment move take?,Local Moving Services; Moving Logistics and Scheduling,Not branded,informational,US,Orlando,,Low,Hard,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
How do Orlando movers compare on pricing?,Local Moving Services; Moving Quotes and Pricing,Not branded,commercial,US,Orlando,,Very High,Hard,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Can Toro Movers fit me in this week?,Moving Logistics and Scheduling,Branded,transactional,US,Orlando,,Very High,Challenging,3,3,100.0%,"Perplexity, ChatGPT, AI Overviews"
